user_id1	user_id2	doc_id	precision	recall	F1
shaharadar	emmanuelleko	12500	0.6232388019561768	0.7447569966316223	0.6786007285118103
shaharadar	leaya	12500	0.0	0.0	0.0
emmanuelleko	leaya	12500	0.0	0.0	0.0
kfir	rotem_ecker	12591	0.7038144469261169	0.6682877540588379	0.6855911016464233
shaharadar	emmanuelleko	12612	0.0	0.0	0.0
emmanuelleko	rotem_ecker	1304608	0.0	0.0	0.0
shaharadar	emmanuelleko	1307613	0.6598508358001709	0.6847296953201294	0.6720600724220276
shaharadar	gilgodinger	1307613	0.0	0.0	0.0
emmanuelleko	gilgodinger	1307613	0.0	0.0	0.0
shaharadar	leaya	131983	0.0	0.0	0.0
kfir	rotem_ecker	1345984	0.0	0.0	0.0
shaharadar	gilgodinger	13532	0.7674160003662109	0.7700005769729614	0.7687061429023743
shaharadar	leaya	13532	0.0	0.0	0.0
gilgodinger	leaya	13532	0.0	0.0	0.0
gilgodinger	israell	136972	0.0	0.0	0.0
emmanuelleko	gilgodinger	1378437	0.0	0.0	0.0
emmanuelleko	gilgodinger	138128	0.0	0.0	0.0
gilgodinger	leaya	139181	0.0	0.0	0.0
gilgodinger	leaya	1395438	0.0	0.0	0.0
emmanuelleko	gilgodinger	1398306	0.0	0.0	0.0
gilgodinger	shira_wigi	139897	0.0	0.0	0.0
emmanuelleko	kfir	13_ptm_532400	0.6076155304908752	0.5864561796188354	0.5968483090400696
emmanuelleko	gilgodinger	140767	0.7201263308525085	0.5948973894119263	0.6515491604804993
emmanuelleko	leaya	140767	0.0	0.0	0.0
gilgodinger	leaya	140767	0.0	0.0	0.0
gilgodinger	rotem_ecker	1410859	0.0	0.0	0.0
shaharadar	israell	14153	0.0	0.0	0.0
gilgodinger	rotem_ecker	1456879	0.0	0.0	0.0
gilgodinger	shira_wigi	1461137	0.0	0.0	0.0
shaharadar	gilgodinger	1477589	0.7203782200813293	0.739691436290741	0.7299070954322815
shaharadar	israell	1477589	0.0	0.0	0.0
gilgodinger	israell	1477589	0.0	0.0	0.0
emmanuelleko	israell	1486572	0.0	0.0	0.0
shaharadar	kfir	14_ptm_532634	0.5696574449539185	0.6629712581634521	0.6127822399139404
shaharadar	emmanuelleko	15012360_c06	0.7284976243972778	0.739884614944458	0.7341470122337341
shaharadar	israell	15012360_c06	0.6690137386322021	0.6566202640533447	0.6627590656280518
shaharadar	shira_wigi	15012360_c06	0.5251267552375793	0.6915236711502075	0.5969464182853699
emmanuelleko	israell	15012360_c06	0.6725413799285889	0.6470199227333069	0.6595338582992554
emmanuelleko	shira_wigi	15012360_c06	0.49230706691741943	0.6738873720169067	0.5689609050750732
israell	shira_wigi	15012360_c06	0.48220399022102356	0.6278202533721924	0.5454609990119934
shaharadar	emmanuelleko	15014490_v12	0.0	0.0	0.0
shaharadar	israell	15014490_v12	0.0	0.0	0.0
shaharadar	shira_wigi	15014490_v12	0.0	0.0	0.0
emmanuelleko	israell	15014490_v12	0.6438780426979065	0.581866443157196	0.6113036274909973
emmanuelleko	shira_wigi	15014490_v12	0.4843977093696594	0.6053485870361328	0.5381609797477722
israell	shira_wigi	15014490_v12	0.4775954484939575	0.6384754776954651	0.5464401245117188
shaharadar	shira_wigi	1507996	0.0	0.0	0.0
shaharadar	leaya	1513254	0.0	0.0	0.0
shaharadar	shira_wigi	153549	0.0	0.0	0.0
shaharadar	emmanuelleko	1538726	0.0	0.0	0.0
shaharadar	shira_wigi	1568912	0.0	0.0	0.0
emmanuelleko	leaya	15_ptm_532834	0.5554620623588562	0.5785470008850098	0.566769540309906
israell	ariela_ben-dov	15_ptm_532873	0.529442548751831	0.6763278841972351	0.5939384698867798
israell	ariela_ben-dov	15_ptm_532934	0.4551900029182434	0.5419551134109497	0.4947977066040039
shaharadar	emmanuelleko	16009580_h02	0.6273747682571411	0.7038754820823669	0.6634270548820496
shaharadar	israell	16009580_h02	0.0	0.0	0.0
shaharadar	shira_wigi	16009580_h02	0.5715879797935486	0.6644876003265381	0.6145467758178711
emmanuelleko	israell	16009580_h02	0.0	0.0	0.0
emmanuelleko	shira_wigi	16009580_h02	0.5632725358009338	0.5758174657821655	0.5694758892059326
israell	shira_wigi	16009580_h02	0.0	0.0	0.0
emmanuelleko	israell	161408	0.0	0.0	0.0
